id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	Astrocyte|Astrocyte	Astrocyte|Microglia	Astrocyte|Neuron	Astrocyte|Oligodendrocyte	Microglia|Astrocyte	Microglia|Microglia	Microglia|Neuron	Microglia|Oligodendrocyte	Neuron|Astrocyte	Neuron|Microglia	Neuron|Neuron	Neuron|Oligodendrocyte	Oligodendrocyte|Astrocyte	Oligodendrocyte|Microglia	Oligodendrocyte|Neuron	Oligodendrocyte|Oligodendrocyte
CPI-SC0A2DB962D	CDH1_integrin_a2b1_complex	simple:P12830	complex:integrin_a2b1_complex	CDH1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Cadherin	0.018	0.002	0.01	0.009	0.0	0.0	0.0	0.0	0.017	0.001	0.008	0.008	0.017	0.001	0.009	0.008
CPI-SC0B5CEA47D	COL10A1_integrin_a2b1_complex	simple:Q03692	complex:integrin_a2b1_complex	COL10A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.001	0.008	0.008	0.0	0.0	0.0	0.0	0.017	0.0	0.008	0.008	0.017	0.001	0.008	0.008
CPI-SC0C8B7BCBB	COL11A1_integrin_a2b1_complex	simple:P12107	complex:integrin_a2b1_complex	COL11A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.223	0.207	0.214	0.214	0.024	0.008	0.015	0.015	0.051	0.035	0.042	0.042	0.207	0.19	0.198	0.198
CPI-SC0D3C12C3F	COL11A2_integrin_a2b1_complex	simple:P13942	complex:integrin_a2b1_complex	COL11A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.02	0.004	0.011	0.011	0.018	0.002	0.009	0.009	0.026	0.009	0.017	0.017	0.022	0.006	0.013	0.013
CPI-SC0B86B7CED	COL12A1_integrin_a2b1_complex	simple:Q99715	complex:integrin_a2b1_complex	COL12A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.018	0.002	0.009	0.009	0.017	0.0	0.008	0.008	0.018	0.001	0.009	0.009	0.028	0.012	0.019	0.019
CPI-SC0FA343CEF	COL13A1_integrin_a2b1_complex	simple:Q5TAT6	complex:integrin_a2b1_complex	COL13A1		False	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.0	0.008	0.008	0.017	0.001	0.008	0.008	0.017	0.0	0.008	0.008	0.017	0.0	0.008	0.008
CPI-SC0CCCF9A7F	COL14A1_integrin_a2b1_complex	simple:Q05707	complex:integrin_a2b1_complex	COL14A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.0	0.008	0.008	0.018	0.002	0.009	0.009	0.017	0.001	0.009	0.008	0.026	0.01	0.017	0.017
CPI-SC0E85E1FB0	COL15A1_integrin_a2b1_complex	simple:P39059	complex:integrin_a2b1_complex	COL15A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.018	0.002	0.009	0.009	0.028	0.012	0.019	0.019	0.017	0.001	0.008	0.008	0.03	0.014	0.022	0.021
CPI-SC0956F4A31	COL16A1_integrin_a2b1_complex	simple:Q07092	complex:integrin_a2b1_complex	COL16A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.047	0.031	0.038	0.038	0.019	0.002	0.01	0.01	0.025	0.009	0.016	0.016	0.029	0.013	0.02	0.02
CPI-SC06EEEC092	COL17A1_integrin_a2b1_complex	simple:Q9UMD9	complex:integrin_a2b1_complex	COL17A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.02	0.003	0.011	0.01	0.0	0.0	0.0	0.0	0.017	0.001	0.008	0.008	0.017	0.001	0.008	0.008
CPI-SC04BD52124	COL18A1_integrin_a2b1_complex	simple:P39060	complex:integrin_a2b1_complex	COL18A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.021	0.004	0.012	0.012	0.021	0.005	0.012	0.012	0.02	0.004	0.012	0.011	0.021	0.005	0.012	0.012
CPI-SC0BDD04147	COL19A1_integrin_a2b1_complex	simple:Q14993	complex:integrin_a2b1_complex	COL19A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.0	0.008	0.008	0.0	0.0	0.0	0.0	0.017	0.001	0.008	0.008	0.017	0.001	0.008	0.008
CPI-SC04BCFC59C	COL1A1_integrin_a2b1_complex	simple:P02452	complex:integrin_a2b1_complex	COL1A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.026	0.01	0.017	0.017	0.026	0.01	0.017	0.017	0.024	0.008	0.015	0.015	0.057	0.041	0.048	0.048
CPI-SC03D0A4AD2	COL1A2_integrin_a2b1_complex	simple:P08123	complex:integrin_a2b1_complex	COL1A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.046	0.029	0.037	0.037	0.038	0.021	0.029	0.029	0.048	0.031	0.039	0.039	0.4	0.384	0.391	0.391
CPI-SC0D5DDAD29	COL20A1_integrin_a2b1_complex	simple:Q9P218	complex:integrin_a2b1_complex	COL20A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.027	0.011	0.018	0.018	0.02	0.003	0.011	0.011	0.021	0.005	0.012	0.012	0.129	0.112	0.12	0.12
CPI-SC0D10396B4	COL21A1_integrin_a2b1_complex	simple:Q96P44	complex:integrin_a2b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.001	0.008	0.008
CPI-SC04D3AE2F6	COL22A1_integrin_a2b1_complex	simple:Q8NFW1	complex:integrin_a2b1_complex	COL22A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.042	0.025	0.033	0.033	0.018	0.001	0.009	0.009	0.021	0.004	0.012	0.012	0.022	0.006	0.013	0.013
CPI-SC088A27EA5	COL24A1_integrin_a2b1_complex	simple:Q17RW2	complex:integrin_a2b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.018	0.001	0.009	0.009	0.017	0.0	0.008	0.008	0.017	0.001	0.008	0.008	0.017	0.0	0.008	0.008
CPI-SC0F179D307	COL26A1_integrin_a2b1_complex	simple:Q96A83	complex:integrin_a2b1_complex	COL26A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.018	0.001	0.009	0.008	0.017	0.001	0.008	0.008	0.021	0.005	0.012	0.012	0.018	0.001	0.009	0.009
CPI-SC044C2FDA4	COL27A1_integrin_a2b1_complex	simple:Q8IZC6	complex:integrin_a2b1_complex	COL27A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.039	0.022	0.03	0.03	0.046	0.029	0.037	0.037	0.024	0.007	0.015	0.015	0.027	0.01	0.018	0.018
CPI-SC04251A46C	COL28A1_integrin_a2b1_complex	simple:Q2UY09	complex:integrin_a2b1_complex	COL28A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.029	0.012	0.02	0.019	0.0	0.0	0.0	0.0	0.018	0.001	0.009	0.009	0.019	0.003	0.01	0.01
CPI-SC09C62F412	COL2A1_integrin_a2b1_complex	simple:P02458	complex:integrin_a2b1_complex	COL2A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.0	0.008	0.008	0.0	0.0	0.0	0.0	0.017	0.0	0.008	0.008	0.019	0.002	0.01	0.01
CPI-SC06A152CC0	COL3A1_integrin_a2b1_complex	simple:P02461	complex:integrin_a2b1_complex	COL3A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.028	0.011	0.019	0.019	0.026	0.009	0.017	0.017	0.031	0.014	0.022	0.022	0.06	0.044	0.051	0.051
CPI-SC03515B178	COL4A1_integrin_a2b1_complex	simple:P02462	complex:integrin_a2b1_complex	COL4A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.127	0.111	0.118	0.118	0.019	0.003	0.01	0.01	0.028	0.011	0.019	0.019	0.056	0.04	0.047	0.047
CPI-SC046604E76	COL4A2_integrin_a2b1_complex	simple:P08572	complex:integrin_a2b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.129	0.112	0.12	0.12	0.021	0.004	0.012	0.012	0.035	0.019	0.026	0.026	0.087	0.071	0.078	0.078
CPI-SC0926FDACC	COL4A3_integrin_a2b1_complex	simple:Q01955	complex:integrin_a2b1_complex	COL4A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.0	0.008	0.008	0.0	0.0	0.0	0.0	0.017	0.001	0.009	0.008	0.017	0.001	0.008	0.008
CPI-SC072376C7B	COL4A4_integrin_a2b1_complex	simple:P53420	complex:integrin_a2b1_complex	COL4A4		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.018	0.001	0.009	0.009	0.017	0.001	0.008	0.008	0.019	0.003	0.01	0.01	0.019	0.002	0.01	0.01
CPI-SC0C287AFC3	COL4A5_integrin_a2b1_complex	simple:P29400	complex:integrin_a2b1_complex	COL4A5		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.083	0.066	0.074	0.074	0.017	0.001	0.009	0.008	0.023	0.007	0.014	0.014	0.037	0.02	0.028	0.027
CPI-SC0FDD31EAB	COL4A6_integrin_a2b1_complex	simple:Q14031	complex:integrin_a2b1_complex	COL4A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.023	0.006	0.014	0.014	0.0	0.0	0.0	0.0	0.017	0.001	0.008	0.008	0.018	0.002	0.009	0.009
CPI-SC0681DB40E	COL5A1_integrin_a2b1_complex	simple:P20908	complex:integrin_a2b1_complex	COL5A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.021	0.004	0.012	0.012	0.018	0.001	0.009	0.009	0.022	0.006	0.013	0.013	0.035	0.019	0.026	0.026
CPI-SC0345262E7	COL5A2_integrin_a2b1_complex	simple:P05997	complex:integrin_a2b1_complex	COL5A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.054	0.037	0.045	0.045	0.018	0.001	0.009	0.009	0.023	0.006	0.014	0.013	0.049	0.032	0.04	0.04
CPI-SC0D5418330	COL5A3_integrin_a2b1_complex	simple:P25940	complex:integrin_a2b1_complex	COL5A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.034	0.018	0.026	0.025	0.017	0.001	0.008	0.008	0.018	0.001	0.009	0.009	0.022	0.005	0.013	0.013
CPI-SC0CCB0D955	COL6A1_integrin_a2b1_complex	simple:P12109	complex:integrin_a2b1_complex	COL6A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.2	0.183	0.191	0.191	0.171	0.154	0.162	0.162	0.07	0.053	0.061	0.061	0.1	0.083	0.091	0.091
CPI-SC01A5C5096	COL6A2_integrin_a2b1_complex	simple:P12110	complex:integrin_a2b1_complex	COL6A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.025	0.009	0.016	0.016	0.184	0.168	0.175	0.175	0.023	0.007	0.014	0.014	0.039	0.022	0.03	0.03
CPI-SC084C79E20	COL6A3_integrin_a2b1_complex	simple:P12111	complex:integrin_a2b1_complex	COL6A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.019	0.002	0.01	0.009	0.02	0.003	0.011	0.011	0.02	0.003	0.011	0.011	0.033	0.017	0.024	0.024
CPI-SC00D0AFED0	COL6A6_integrin_a2b1_complex	simple:A6NMZ7	complex:integrin_a2b1_complex	COL6A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.001	0.008	0.008	0.0	0.0	0.0	0.0	0.017	0.001	0.008	0.008	0.018	0.001	0.009	0.009
CPI-SC05640277E	COL7A1_integrin_a2b1_complex	simple:Q02388	complex:integrin_a2b1_complex	COL7A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.031	0.014	0.022	0.022	0.019	0.002	0.01	0.01	0.036	0.019	0.027	0.027	0.029	0.013	0.02	0.02
CPI-SC0B3564B15	COL8A1_integrin_a2b1_complex	simple:P27658	complex:integrin_a2b1_complex	COL8A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.001	0.008	0.008	0.018	0.001	0.009	0.009	0.018	0.002	0.009	0.009	0.02	0.003	0.011	0.011
CPI-SC0F94B7D8F	COL8A2_integrin_a2b1_complex	simple:P25067	complex:integrin_a2b1_complex	COL8A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.017	0.001	0.008	0.008	0.043	0.026	0.034	0.033	0.0	0.0	0.0	0.0	0.019	0.002	0.01	0.01
CPI-SC00065C95C	COL9A1_integrin_a2b1_complex	simple:P20849	complex:integrin_a2b1_complex	COL9A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.037	0.021	0.028	0.028	0.021	0.004	0.012	0.012	0.021	0.005	0.012	0.012	0.107	0.091	0.098	0.098
CPI-SC0A916E0E2	COL9A2_integrin_a2b1_complex	simple:Q14055	complex:integrin_a2b1_complex	COL9A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.037	0.02	0.028	0.028	0.032	0.016	0.023	0.023	0.03	0.013	0.021	0.021	0.065	0.049	0.057	0.056
